Q2	x	z	ALL_lower	ALL	ALL_upper
3.319900000000000091e+03	1.000000000000000048e-04	2.500000000000000000e-01	-3.945599999999999628e-03	-1.232999999999999938e-03	-3.412900000000000070e-04
5.903800000000000182e+03	1.000000000000000048e-04	2.500000000000000000e-01	-3.933400000000000091e-03	-1.192899999999999993e-03	-3.405300000000000210e-04
1.000000000000000000e+00	1.000000000000000048e-04	2.999999999999999889e-01	-1.357099999999999973e-02	-6.088900000000000388e-03	-2.654500000000000175e-03
1.049900000000000055e+00	1.000000000000000048e-04	2.999999999999999889e-01	-1.289700000000000048e-02	-5.739600000000000084e-03	-2.616499999999999902e-03
1.866900000000000004e+00	1.000000000000000048e-04	2.999999999999999889e-01	-7.984299999999999731e-03	-3.413499999999999868e-03	-1.438499999999999892e-03
3.319900000000000073e+00	1.000000000000000048e-04	2.999999999999999889e-01	-6.782700000000000014e-03	-3.083799999999999823e-03	-1.089799999999999927e-03
5.903800000000000381e+00	1.000000000000000048e-04	2.999999999999999889e-01	-6.169799999999999590e-03	-2.776900000000000115e-03	-8.702100000000000590e-05
1.049900000000000055e+01	1.000000000000000048e-04	2.999999999999999889e-01	-5.041200000000000021e-03	-2.707699999999999951e-03	-1.504900000000000042e-04
1.866900000000000048e+01	1.000000000000000048e-04	2.999999999999999889e-01	-4.542799999999999616e-03	-2.402399999999999848e-03	-1.997799999999999880e-04
3.319899999999999807e+01	1.000000000000000048e-04	2.999999999999999889e-01	-4.697200000000000333e-03	-2.073300000000000143e-03	-2.348600000000000112e-04
5.903799999999999670e+01	1.000000000000000048e-04	2.999999999999999889e-01	-4.786399999999999683e-03	-1.846900000000000061e-03	-2.604199999999999766e-04
1.049899999999999949e+02	1.000000000000000048e-04	2.999999999999999889e-01	-4.725700000000000213e-03	-1.732999999999999948e-03	-2.787399999999999774e-04
1.866899999999999977e+02	1.000000000000000048e-04	2.999999999999999889e-01	-4.529199999999999719e-03	-1.569700000000000045e-03	-2.920999999999999985e-04
3.319900000000000091e+02	1.000000000000000048e-04	2.999999999999999889e-01	-4.356500000000000129e-03	-1.484899999999999935e-03	-3.014299999999999922e-04
5.903799999999999955e+02	1.000000000000000048e-04	2.999999999999999889e-01	-4.205399999999999763e-03	-1.412800000000000080e-03	-3.078299999999999851e-04
1.049900000000000091e+03	1.000000000000000048e-04	2.999999999999999889e-01	-4.072300000000000052e-03	-1.351500000000000054e-03	-3.121199999999999864e-04
1.866900000000000091e+03	1.000000000000000048e-04	2.999999999999999889e-01	-3.951999999999999784e-03	-1.297200000000000089e-03	-3.144199999999999881e-04
3.319900000000000091e+03	1.000000000000000048e-04	2.999999999999999889e-01	-3.934799999999999583e-03	-1.249899999999999969e-03	-3.155000000000000252e-04
5.903800000000000182e+03	1.000000000000000048e-04	2.999999999999999889e-01	-3.921100000000000280e-03	-1.207399999999999966e-03	-3.153599999999999893e-04
